user,node_hash,weight
68943667,-5474419788324040984,2
69303377,-3758873635504020822,1
69323186,-8188002691455334977,1
69544007,-2924815293628402123,1
70420459,4966733132903437218,1
70672950,401956047868899946,1
70971449,7463189803220024460,1
71215198,-6900950292004322344,1
72248630,-8112543729724904710,3
73345146,3733013074165869300,1
73450161,-804207754525856593,1
73670044,1280829910053700556,1
74341188,999183366792530278,1
74393593,5579753554013543913,1
74415003,-5225830056235598500,1
75099090,-1506565139962667710,1
75989092,-5750858223297893368,1
76913673,-2279094697863403866,1
77152008,3798066317346401290,1
77637855,-1846436141603612171,1
78218296,4890119454993948204,1
78567974,-1334091227489239309,1
79122114,-2139907577383743732,1
79167737,7386950836509147146,1
80123544,-8310877019942349567,2
80199644,3399807568896689610,1
80803492,-1648345747511773431,1
81590266,3913395868843864912,1
81637419,2087827625858232335,1
82099471,1786165350992745549,1
82886693,6876195311339143460,1
83186144,-1928021286231955735,2
83355546,-53485421991710261,1
83376054,5881881620576904490,1
83766645,326249635522822541,1
84021349,4409304583133659149,1
84063991,-7557954687443392416,1
84788830,3866268736350953058,1
85129926,3210150988800539160,1
85626417,4632730670382367063,2
85821679,-5567393471052852803,2
86395279,-6319547906212981508,1
86505260,-628597937261730696,2
87079093,1938409769107353710,1
87243594,-8406744333034636592,4
87306292,3903559226112029567,1
87467449,-4251108748026519543,1
87469286,5701012323200033062,2
87734147,278897067909142747,1
88965463,-6900528047825247497,1
89264146,-9160749803027718814,1
92530150,-5045533451569347605,1
92709870,3821020124439335846,1
92952222,-4092787234836936274,1
93759104,3427139175011744676,1
94765165,1864715143558632698,1
94832967,-7578351389815222785,1
95244240,5731538815609572334,1
95528446,-2040837161350332340,1
95932039,-6849490222905860798,1
96338614,-6538959485941800671,1
96429197,8287422250699995815,1
96467350,-3035119596136623505,1
96795790,-3446133541889054190,1
96805353,1580260918583429613,1
97193301,554081089760575055,1
97200408,8326095553479760597,5
98415384,1865632516950975006,2
99541704,-2475851925435514788,1
100964726,-4957083156188776039,1
101014254,-5095213213585096660,1
101743223,-5561910710582350125,1
103060087,-1508511157589564535,1
103268997,-4598095325463594685,1
103860494,-7218573815108490694,1
104000065,9076005134042586728,1
104195080,-4713343204083249981,1
104223624,6571758636606779226,1
104810159,-451109815343917495,1
104854729,-3059819366673523068,2
104960470,-7316711498766538932,1
105108115,5036101266113952070,1
105132897,-6823471714884326194,2
106474569,-161816843164054262,1
106525523,1826784178001331160,2
106831411,-5816188197680747346,1
107491706,-5191612057958695644,1
109511920,-1129519924299431195,1
109990519,-7136077913836286441,1
111657224,-1631448867120208436,1
111906743,-5736378174075913939,2
112832545,5817658010109231964,1
114912483,6280006742704670257,1
115034310,7934668517244372814,2
115139827,-1200922520252345072,2
115558584,-7853209729497502579,1
115649273,-6506960614353085796,1
116736577,-3336518974100878357,1
116743111,-3116212590597061007,2
116750021,4522993127603042992,2
116849257,6397951836065546171,1
117188302,7365268598824314555,1
117490122,976421907151406641,1
117701249,8470044946770790463,2
118072089,5281050868946187720,3
118176912,-46501578305026530,1
118351182,-3484769715813513434,1
119711344,-5881705416623505867,2
120436258,5680712381894507443,1
121424128,-8223818261803053535,1
121451902,-6299611716567414312,2
121785808,596924704112981336,1
122101355,-3740702709396244739,1
122494964,3829203664050833396,1
122596094,7951871009403325839,1
122760708,-2856278183734374062,1
123235860,-6423509868022550469,1
123367308,-2573459043531622458,1
123848899,2996426844829548635,1
124136426,1079239904168696613,1
124491111,4486231901021039173,1
125310290,-8355757208226435404,1
125600128,-7199475990231663273,1
125777992,-6482330665102803273,1
125992830,7389730013160270287,1
126045711,-3196459225154183968,1
126476696,7952421511361296765,1
128242325,3037844780265117711,1
128568030,-5922609433728660153,1
128607229,-605977487677607367,1
128867001,3574984862164287723,1
129149213,6658850389747029961,1
129901578,-748649563646687624,1
130837695,3127819486544028751,1
130982265,505871330916708663,1
131126639,6140166015691020788,2
131197741,-232314833033371919,1
131254069,-8347556664764352663,1
131647268,-6720132001445160160,1
131815919,5074724555939373398,1
132148966,-6728759573076764307,1
133297534,8068362706787298906,1
133448760,-7559931781070177318,1
133485233,1352216402073162968,5
133679169,1121216876414340284,1
133787641,8586548399625403302,2
133790890,-8761945154247952351,1
134192002,-6428909595429764144,1
135129119,5537768035341968088,1
135186400,-7970181727654598221,1
135241329,-8465444761040310021,2
135267045,-3867565415473877722,4
136580225,7707253241270354821,1
136953145,-1686475287061517456,1
137595822,961029995327710213,1
138400776,-4327001692119841486,7
140022397,153474054282570281,1
140171566,-3512757190416505303,8
141693730,-2580124308608158581,1
142296404,8469623300701292342,1
142391146,-4014540156304225581,1
142856124,1515981040332003297,1
143463688,-4037173240669683607,1
143816152,5174128066611226097,1
144176515,727228866079148814,1
144595120,8257504916105924694,1
144746754,3548947094805449970,1
145637517,3627798473396187177,1
145802194,4951093373392707606,3
146077247,-3228686686430458486,1
146140940,-7762892067055639388,1
146453464,2396466911492381859,1
146892041,-4251772374845656094,2
147202081,-2475614345860145370,1
147371974,-8479717830984442563,1
148055859,1870741493032659625,1
148815037,-3938091262304068383,1
150207617,6960714131936101341,1
150725695,5876521622962706893,2
151417771,-7864973368242551182,1
151826671,-8713710237778862668,1
152689221,-1647205638260069137,1
152725709,2749290763538294965,1
154082631,-1388877203519984898,1
