hashtag,node_hash,weight
dick,1627195465470592336,1
didatticaadistanza,-8964377483277503242,1
diego,-324525046549826309,1
diegoarmandomaradona,-3467546259589824626,1
dieta,-4009487524416617877,1
dietamediterranea,-2630316155034485022,4
different,4555858741385500221,1
digilosofia,-3384572765720952693,1
digitaldownload,-2567068611041655950,1
digitali,-8238056559017656784,1
digitalizzazione,-5079721562930102911,2
digitallearning,4012785010299588258,1
digitaltransformation,-216749593835239765,4
dimaio,-7729824703813527331,3
dinamokiev,-5868372743227177120,2
dinosauri,1657544478585014488,1
dio,-8975144868043294607,4
dipende,2588558871304336550,1
dipendenti,-7449500651508799030,1
disabilità,6950343667413933555,1
discount,4858413395636951652,2
disgraziadiungovernicchio,-3939184668833384536,1
dissesto,8446600245148830033,2
distantimauniti,7502926981181024418,1
distanziamento,8534906661063947996,1
disturbipsichici,-4804109818943419454,1
dittaturasanitaria,4816403930393041742,1
diversamente,4114620781182288495,1
divorzio,-5668140609241993605,39
divulgo,3356054204900392277,4
dogdugunevkaderindir,5336641788322462947,1
dolci,654262230652674209,1
domani,-2153565423175516975,1
dominion,-2884408476955451172,1
donare,-954988547643526605,1
donarefabene,5060113947558313480,1
donne,-3305307109151722057,1
dpcm,-8991973480537761265,8
dpcmnatale,-2406883935403593389,1
dpi,8935754198341385989,1
dreamland,1162457066599064069,1
dreamtheatre,-2639617874106139228,2
drivethrough,-4081408967470461337,1
dropshipping,-8608790914833391008,1
druido,3614890729219367789,1
dsc2020,-425834129623010291,1
dtlab,4769913332463450914,1
duospeed,7625666645237279107,1
durex,7495651533025324662,1
dutchpassion,1170177102548087018,1
dybala,2673699865119061659,1
dynamix,-3684786082111624908,1
ebay,6292914485047600185,1
ebook,1421234497708003562,1
eco2,-5072126401026384234,1
ecobonus,9217172837285756021,1
ecodaipalazzi,2251728787374633925,1
ecommerce,-7843029487028480250,1
ecommercebusiness,8433923276492268011,1
economia,1973586856167820038,2
ecosistemadigitale,4903997571263768965,3
eddimarcucci,2935391511047980130,4
ederson,5936184164809337573,1
editoriale,-2123774245772077753,1
efficienzaenergetica,-4097147971149614451,1
egitto,-833664875829839607,1
eldenring,1929299720068177236,1
elearning,-8253674545741310829,1
eleicoes2020,-5700231781442509932,1
elenasorci,6936890813209835894,1
elezioniregionali,-8020664318744506732,1
eliogermano,6865071518821171459,1
elonmusk,511107353833687632,1
ema,-108379375288674476,3
email,522768274048174015,1
emergenzasanitaria,1692840940308471102,1
emilib,-9130951676847887730,1
emmastone,7907469199516645475,1
emozioni,-8796269790806821461,5
energica,6231144219906486148,1
engel,-7811969362220492156,1
enock,-3940215988057980025,1
enoturismo,2232199786911566402,1
epicfail,8242148740206015176,1
eriksen,7247867671350425247,1
erkencikuş,-1496530550786494647,2
ermalmeta,-6057709511152177202,6
erotico,5416198573640839203,1
erp,1302760980455834294,2
errori,-7365989860864432935,1
esibizionista,2558480648861580934,1
esperanto,-1610216135750538624,1
esports,-8759563813878486074,1
estate,7701934223140161541,1
esteri,-9207519146954178580,1
eterno,-1562011808176878484,1
ethiad,-1327790747964305471,1
etihad,8435791482733699492,1
etiopia,-715050842063677128,1
euro,-8711287515322807033,4
europa,5182397239297777949,2
eurosportbasket,-6944720763480323723,1
eurotrainingsrl,-5959663138493471323,1
evasionefiscale,-4315956331696308,2
exameron,3075088989725549637,1
f1,-2896825724618003396,2
fabriziomoro,-1856454099890426576,1
facciamoinformazione,8498436222092048966,2
facciamorete,-1659383442778645823,2
facebook,1609334670229143563,1
factchecking,-7164929804522712031,1
fake,-2871518668702260611,1
famiglie,-7050129424645830310,1
fanfiction,-464356580187772950,1
fantasy,978290837838307730,1
farmacisti,-6334117168519249219,1
farmerprotest,-5378211063798561454,1
farmersprotest,2200816038705549999,1
fatequalcosa,-437346862322256899,2
favazzatermitana,-3910823152846564327,1
favolealtelefono,-5321302095374598498,1
favre,4966232754465423899,1
